cond,overall_acc,overall_rt,subject
Audio,0.911111111111111,0.5109713116861104,mm01
Congruent,0.9666666666666666,0.3978435413337048,mm01
Incongruent,0.9666666666666666,0.4139879415064682,mm01
Visual,0.9888888888888889,0.4685561851218895,mm01
Audio,0.9777777777777779,0.5379453865098365,mm02
Congruent,0.9888888888888889,0.48010728359222415,mm02
Incongruent,1.0,0.4523824877209134,mm02
Visual,0.9888888888888889,0.5296760023376088,mm02
Audio,0.9777777777777779,0.2981616067297665,mm03
Congruent,1.0,0.259915206167433,mm03
Incongruent,1.0,0.2649473958545261,mm03
Visual,1.0,0.28984863228268093,mm03
Audio,0.9333333333333333,0.398155779161571,mm05
Congruent,0.9666666666666666,0.3723439422654517,mm05
Incongruent,0.9888888888888889,0.37585321944436906,mm05
Visual,0.8999999999999999,0.4285398047647358,mm05
Audio,0.8777777777777778,0.39752728534333504,mm06
Congruent,0.9777777777777779,0.32816225864269116,mm06
Incongruent,0.9888888888888889,0.31014126230169226,mm06
Visual,0.9666666666666666,0.35638974213305813,mm06
Audio,0.8666666666666667,0.4220859018162655,mm07
Congruent,0.9666666666666666,0.3176343991432661,mm07
Incongruent,1.0,0.31960873074001733,mm07
Visual,0.9888888888888889,0.37867799070146346,mm07
Audio,0.9222222222222223,0.4787627888314518,mm08
Congruent,1.0,0.4403354909684923,mm08
Incongruent,1.0,0.4116875701480442,mm08
Visual,0.9777777777777779,0.43257920182781456,mm08
Audio,0.9444444444444444,0.40353375040454625,mm09
Congruent,1.0,0.3604500479168362,mm09
Incongruent,0.9888888888888889,0.34028803272011837,mm09
Visual,0.9888888888888889,0.3648806722075851,mm09
Audio,0.9777777777777779,0.3911024452727518,mm10
Congruent,1.0,0.32487486733330617,mm10
Incongruent,0.9888888888888889,0.310292845007814,mm10
Visual,1.0,0.35056786537170415,mm10
Audio,0.8999999999999999,0.35585646312913777,mm11
Congruent,0.9888888888888889,0.3266302888776049,mm11
Incongruent,1.0,0.330212656656901,mm11
Visual,0.9888888888888889,0.3879384058493155,mm11
Audio,0.9444444444444444,0.27959138640651,mm13
Congruent,1.0,0.24524290561676024,mm13
Incongruent,1.0,0.24478023582034641,mm13
Visual,1.0,0.27312326431274414,mm13
